arm,epoch,kind,side,sec,ask,fill_px,p,p_venue,ev,thr,rv60,move_bps,spent,win,pnl
8795,1789583700,EF,UP,197.3,0.12,0.12,0.623,0.115,3.8721,0.25,3.1161,0.53,2.99,1,20.5063
8796,1789583700,EF,UP,197.4,0.15,0.15,0.6776,0.145,3.2487,0.25,2.9865,0.53,3,1,15.8683
8795,1789584000,EF,UP,20,0.51,0.51,0.6776,0.505,0.2831,0.25,2.2249,3.81,3,1,2.6868
8796,1789584000,EF,DOWN,28.5,0.43,0.43,0.5943,0.575,0.327,0.25,2.4165,1.24,2.99,0,-2.9949
8795,1789584300,EF,UP,40.5,0.34,0.34,0.5314,0.33,0.4907,0.25,2.1201,13.27,2.99,0,-2.9921
8796,1789584300,EF,UP,40.5,0.34,0.34,0.5694,0.335,0.5974,0.25,2.3043,14.57,2.99,0,-2.9921
8795,1789584600,EF,UP,17.9,0.39,0.39,0.5314,0.385,0.3044,0.25,1.2975,-1.6,2.99,0,-2.9926
8796,1789584600,EF,UP,119.4,0.39,0.39,0.5694,0.385,0.3977,0.25,1.2649,-3.28,2.99,0,-2.9926
8795,1789584900,EF,UP,43.7,0.5,0.5,0.6776,0.495,0.3078,0.25,1.2413,6.88,2.99,1,2.7889
8796,1789584900,EF,UP,43.5,0.45,0.45,0.6776,0.445,0.4478,0.25,1.2832,5.83,2.99,1,3.4091
8795,1789585200,EF,UP,29.5,0.54,0.54,0.7167,0.53,0.2844,0.25,1.4632,24.33,2.99,1,2.377
8795,1789585500,EF,UP,77.2,0.32,0.32,0.5314,0.315,0.5816,0.25,0.9166,1.24,3,0,-2.9961
8796,1789585500,EF,UP,77.3,0.32,0.32,0.5694,0.315,0.6948,0.25,0.9254,1.24,3,0,-2.9961
8795,1789586100,EF,DOWN,34.6,0.31,0.31,0.5438,0.695,0.6695,0.25,1.6005,-6.8,3,1,6.2277
8796,1789586100,EF,DOWN,37.9,0.42,0.42,0.5909,0.585,0.3498,0.25,1.6934,-7.32,3,1,3.8602
8795,1789586700,EF,DOWN,15.9,0.38,0.38,0.5098,0.625,0.2834,0.25,1.219,7.73,2.99,1,4.5581
8796,1789586700,EF,DOWN,16,0.39,0.39,0.5438,0.615,0.3349,0.25,1.2217,7.73,2.99,1,4.3664
8795,1789587000,EF,DOWN,24.3,0.37,0.37,0.5098,0.635,0.3171,0.25,0.9463,-7.41,3,0,-2.9966
8796,1789587000,EF,DOWN,47.6,0.43,0.43,0.6272,0.575,0.4003,0.25,1.1538,-9.63,2.99,0,-2.9949
8795,1789587300,EF,DOWN,65.3,0.29,0.29,0.5098,0.715,0.6706,0.25,0.8864,-4.95,2.99,0,-2.9916
8796,1789587300,EF,DOWN,65.5,0.28,0.285,0.5098,0.725,0.729,0.25,0.9062,-5.07,2.99,0,-2.9926
8795,1789587600,EF,UP,71.7,0.54,0.54,0.7167,0.535,0.2844,0.25,0.6226,5.12,2.99,1,2.377
8796,1789587600,EF,DOWN,39.3,0.44,0.44,0.5943,0.565,0.2978,0.25,0.4084,-3.9,2.99,0,-2.9929
8795,1789588200,EF,UP,59.9,0.51,0.51,0.6776,0.505,0.2831,0.25,0.7433,5.26,3,0,-2.9995
8796,1789588200,EF,UP,59.9,0.51,0.51,0.6776,0.505,0.2831,0.25,0.7349,5.26,3,0,-2.9995
8795,1789588500,EF,DOWN,142.6,0.41,0.41,0.5098,0.6,0.1921,0.15,0.1636,-1.22,3,0,-2.9989
8796,1789588500,EF,DOWN,144.6,0.43,0.43,0.5438,0.575,0.2142,0.15,0.1449,-1.54,2.99,0,-2.9949
8795,1789588800,EF,UP,124.1,0.38,0.38,0.5694,0.375,0.4335,0.25,0.5381,0,2.99,1,4.5581
8796,1789588800,EF,UP,124.1,0.39,0.39,0.5694,0.38,0.3977,0.25,0.5408,0,2.99,1,4.3664
8795,1789589100,EF,DOWN,95.8,0.28,0.28,0.5098,0.725,0.729,0.25,1.0623,1.03,2.99,1,7.1849
8796,1789589100,EF,DOWN,93.2,0.31,0.31,0.5098,0.695,0.5651,0.25,1.0528,1.03,3,1,6.2277
8795,1789589400,EF,UP,137.1,0.28,0.28,0.5314,0.275,0.8022,0.25,0.702,2.23,2.99,1,7.1849
8795,1789589700,EF,UP,101.6,0.39,0.39,0.5314,0.385,0.3044,0.25,0.4657,-1.97,2.99,1,4.3664
8796,1789589700,EF,UP,101.6,0.39,0.39,0.5314,0.385,0.3044,0.25,0.4657,-1.97,2.99,1,4.3664
8795,1789590000,EF,DOWN,99.3,0.34,0.34,0.5098,0.665,0.4301,0.25,0.373,-2.3,2.99,1,5.4196
8796,1789590000,EF,DOWN,198.2,0.4,0.44,0.6416,0.645,0.5365,0.25,0.91,-3.73,2.99,1,3.5526
8795,1789590600,EF,DOWN,84.8,0.35,0.35,0.5098,0.655,0.3903,0.25,0.398,0,2.99,0,-2.9901
8796,1789590600,EF,DOWN,84.7,0.35,0.35,0.5438,0.655,0.4831,0.25,0.398,0,2.99,0,-2.9901
8795,1789590900,EF,DOWN,25.1,0.25,0.2512,0.5098,0.755,0.9322,0.25,1.1318,-2.95,3,1,8.3468
8795,1789591200,EF,UP,191.6,0.5,0.5,0.6776,0.48,0.3078,0.25,0.8003,0.53,2.99,1,2.7889
8795,1789593000,EF,DOWN,57.8,0.38,0.38,0.5098,0.625,0.2834,0.25,0.3877,0.6,2.99,1,4.5581
8796,1789593000,EF,DOWN,57.7,0.38,0.38,0.5098,0.625,0.2834,0.25,0.3742,0.86,2.99,1,4.5581
8795,1789593300,EF,DOWN,205,0.43,0.43,0.5943,0.575,0.327,0.25,0.2232,-0.61,2.99,0,-2.9949
8796,1789593300,EF,DOWN,206.7,0.36,0.36,0.5098,0.645,0.3527,0.25,0.221,-0.61,3,0,-2.9986
8795,1789593600,EF,DOWN,91.6,0.44,0.44,0.5943,0.565,0.2978,0.25,0.3465,-0.1,2.99,1,3.5526
8796,1789593600,EF,DOWN,91.4,0.44,0.44,0.6272,0.565,0.3695,0.25,0.3515,-0.11,2.99,1,3.5526
8796,1789593900,EF,DOWN,219.8,0.37,0.37,0.5098,0.665,0.3171,0.25,0.4035,0.16,3,1,4.7602
8795,1789594200,EF,DOWN,145.8,0.39,0.39,0.5098,0.615,0.2514,0.15,0.1271,1.24,2.99,0,-2.9926
8796,1789594200,EF,DOWN,146.2,0.4,0.4,0.5098,0.62,0.221,0.15,0.1299,0.99,2.99,0,-2.9905
8795,1789595400,EF,UP,96.7,0.46,0.46,0.5694,0.455,0.1911,0.15,0.0734,1.14,3,1,3.2834
8796,1789595400,EF,UP,96.7,0.46,0.46,0.5694,0.455,0.1911,0.15,0.0734,1.14,3,1,3.2834
8795,1789596300,EF,DOWN,65.8,0.53,0.5308,0.6975,0.475,0.2727,0.25,0.8122,-0.21,3,1,2.4677
8796,1789596300,EF,DOWN,65.9,0.53,0.5308,0.6975,0.475,0.2727,0.25,0.8349,-0.52,3,1,2.4677
8795,1789596900,EF,DOWN,97.7,0.44,0.44,0.5943,0.565,0.2978,0.25,0.8959,-0.4,2.99,1,3.5526
8796,1789596900,EF,DOWN,99.2,0.44,0.44,0.5943,0.575,0.2978,0.25,1.0107,-0.4,2.99,1,5.9295
8796,1789596900,REVERSAL,DOWN,120.1,,0.54,0.6463,,,0,,,2.99,1,5.9295
8795,1789598100,EF,UP,161.3,0.44,0.44,0.623,0.435,0.3605,0.25,0.4191,1.59,2.99,1,3.5526
8796,1789598100,EF,UP,161.2,0.44,0.44,0.5896,0.435,0.2874,0.25,0.4115,1.59,2.99,1,3.5526
8795,1789598400,EF,DOWN,33.7,0.32,0.32,0.5098,0.685,0.5173,0.25,0.3998,-3.3,3,0,-2.9961
8796,1789598400,EF,DOWN,33.7,0.32,0.32,0.5098,0.685,0.5173,0.25,0.3998,-3.3,3,0,-2.9961
8795,1789598700,EF,DOWN,34.1,0.48,0.4817,0.5909,0.525,0.1862,0.15,0.1523,-0.53,2.99,1,3.0051
8795,1789599300,EF,DOWN,92.9,0.44,0.4423,0.5943,0.565,0.2978,0.15,0.1646,0.56,2.99,0,-2.9924
8796,1789599300,EF,DOWN,92.8,0.47,0.4718,0.5943,0.535,0.2176,0.15,0.1646,0.56,3,0,-2.9968
8795,1789599900,EF,DOWN,156.5,0.36,0.36,0.5098,0.645,0.3527,0.25,0.4897,1.21,3,0,-2.9986
8796,1789599900,EF,DOWN,156.6,0.36,0.36,0.5098,0.645,0.3527,0.25,0.4897,1.21,3,0,-2.9986
8795,1789600200,EF,UP,42.1,0.49,0.49,0.6024,0.48,0.1855,0.15,0.1517,1.18,2.99,1,2.9048
