R-27  EF parameters per volatility regime
  2076 graded Polymarket fires with a prior-6-candle vol reading
  buckets fixed FIRST: rv6 (bps) cut at the 33rd/67th pct = 4.05 / 8.56

  THE PLAIN ANSWER: what the CURRENT parameters already do per bucket
  bucket       n      W%    per $1      total   med ask
  LOW        685   57.4%    +0.200    +136.96     0.470
  MID        706   50.4%    +0.095     +66.94     0.450
  HIGH       685   51.7%    +0.114     +77.89     0.450

  FULL GRID per bucket. Every cell; <60 fires marked insufficient.
  Each cell is a RESTRICTION of the fires already taken.

  === LOW (n=685) ===
  evflr  maxp   secwin    |p-.5|      n      W%    per $1     total
  0.00   0.40   60-300    0.00       94   55.3%    +0.460    +43.28
  0.00   0.50   0-30      0.00       87   59.8%    +0.278    +24.18
  0.00   0.50   30-45     0.00       69   69.6%    +0.517    +35.67
  0.00   0.50   60-300    0.00      249   53.8%    +0.245    +60.91
  0.00   0.50   60-300    0.05      106   70.8%    +0.517    +54.84
  0.00   0.60   0-30      0.00      182   59.9%    +0.167    +30.33
  0.00   0.60   0-30      0.05      133   63.2%    +0.170    +22.59
  0.00   0.60   0-30      0.10      109   62.4%    +0.127    +13.81
  0.00   0.60   30-45     0.00      101   62.4%    +0.306    +30.90
  0.00   0.60   30-45     0.05       71   59.2%    +0.154    +10.95
  0.00   0.60   45-60     0.00       66   63.6%    +0.359    +23.67
  0.00   0.60   60-300    0.00      325   52.9%    +0.160    +51.99
  0.00   0.60   60-300    0.05      182   62.1%    +0.252    +45.92
  0.00   0.60   60-300    0.10      116   61.2%    +0.173    +20.04
  0.00   0.70   0-30      0.00      185   58.9%    +0.148    +27.33
  0.00   0.70   0-30      0.05      136   61.8%    +0.144    +19.59
  0.00   0.70   0-30      0.10      112   60.7%    +0.096    +10.81
  0.00   0.70   30-45     0.00      104   63.5%    +0.314    +32.69
  0.00   0.70   30-45     0.05       74   60.8%    +0.172    +12.74
  0.00   0.70   45-60     0.00       67   62.7%    +0.338    +22.67
  0.00   0.70   60-300    0.00      329   53.5%    +0.165    +54.27
  0.00   0.70   60-300    0.05      186   62.9%    +0.259    +48.20
  0.00   0.70   60-300    0.10      120   62.5%    +0.186    +22.32
  0.00   0.70   60-300    0.15       62   64.5%    +0.150     +9.31
  0.00   0.80   0-30      0.00      185   58.9%    +0.148    +27.33
  0.00   0.80   0-30      0.05      136   61.8%    +0.144    +19.59
  0.00   0.80   0-30      0.10      112   60.7%    +0.096    +10.81
  0.00   0.80   30-45     0.00      104   63.5%    +0.314    +32.69
  0.00   0.80   30-45     0.05       74   60.8%    +0.172    +12.74
  0.00   0.80   45-60     0.00       67   62.7%    +0.338    +22.67
  0.00   0.80   60-300    0.00      329   53.5%    +0.165    +54.27
  0.00   0.80   60-300    0.05      186   62.9%    +0.259    +48.20
  0.00   0.80   60-300    0.10      120   62.5%    +0.186    +22.32
  0.00   0.80   60-300    0.15       62   64.5%    +0.150     +9.31
  0.05   0.40   60-300    0.00       94   55.3%    +0.460    +43.28
  0.05   0.50   0-30      0.00       87   59.8%    +0.278    +24.18
  0.05   0.50   30-45     0.00       69   69.6%    +0.517    +35.67
  0.05   0.50   60-300    0.00      249   53.8%    +0.245    +60.91
  0.05   0.50   60-300    0.05      106   70.8%    +0.517    +54.84
  0.05   0.60   0-30      0.00      182   59.9%    +0.167    +30.33
  0.05   0.60   0-30      0.05      133   63.2%    +0.170    +22.59
  0.05   0.60   0-30      0.10      109   62.4%    +0.127    +13.81
  0.05   0.60   30-45     0.00      101   62.4%    +0.306    +30.90
  0.05   0.60   30-45     0.05       71   59.2%    +0.154    +10.95
  0.05   0.60   45-60     0.00       66   63.6%    +0.359    +23.67
  0.05   0.60   60-300    0.00      325   52.9%    +0.160    +51.99
  0.05   0.60   60-300    0.05      182   62.1%    +0.252    +45.92
  0.05   0.60   60-300    0.10      116   61.2%    +0.173    +20.04
  0.05   0.70   0-30      0.00      185   58.9%    +0.148    +27.33
  0.05   0.70   0-30      0.05      136   61.8%    +0.144    +19.59
  0.05   0.70   0-30      0.10      112   60.7%    +0.096    +10.81
  0.05   0.70   30-45     0.00      104   63.5%    +0.314    +32.69
  0.05   0.70   30-45     0.05       74   60.8%    +0.172    +12.74
  0.05   0.70   45-60     0.00       67   62.7%    +0.338    +22.67
  0.05   0.70   60-300    0.00      329   53.5%    +0.165    +54.27
  0.05   0.70   60-300    0.05      186   62.9%    +0.259    +48.20
  0.05   0.70   60-300    0.10      120   62.5%    +0.186    +22.32
  0.05   0.70   60-300    0.15       62   64.5%    +0.150     +9.31
  0.05   0.80   0-30      0.00      185   58.9%    +0.148    +27.33
  0.05   0.80   0-30      0.05      136   61.8%    +0.144    +19.59
  0.05   0.80   0-30      0.10      112   60.7%    +0.096    +10.81
  0.05   0.80   30-45     0.00      104   63.5%    +0.314    +32.69
  0.05   0.80   30-45     0.05       74   60.8%    +0.172    +12.74
  0.05   0.80   45-60     0.00       67   62.7%    +0.338    +22.67
  0.05   0.80   60-300    0.00      329   53.5%    +0.165    +54.27
  0.05   0.80   60-300    0.05      186   62.9%    +0.259    +48.20
  0.05   0.80   60-300    0.10      120   62.5%    +0.186    +22.32
  0.05   0.80   60-300    0.15       62   64.5%    +0.150     +9.31
  0.10   0.40   60-300    0.00       94   55.3%    +0.460    +43.28
  0.10   0.50   0-30      0.00       87   59.8%    +0.278    +24.18
  0.10   0.50   30-45     0.00       69   69.6%    +0.517    +35.67
  0.10   0.50   60-300    0.00      249   53.8%    +0.245    +60.91
  0.10   0.50   60-300    0.05      106   70.8%    +0.517    +54.84
  0.10   0.60   0-30      0.00      182   59.9%    +0.167    +30.33
  0.10   0.60   0-30      0.05      133   63.2%    +0.170    +22.59
  0.10   0.60   0-30      0.10      109   62.4%    +0.127    +13.81
  0.10   0.60   30-45     0.00      101   62.4%    +0.306    +30.90
  0.10   0.60   30-45     0.05       71   59.2%    +0.154    +10.95
  0.10   0.60   45-60     0.00       66   63.6%    +0.359    +23.67
  0.10   0.60   60-300    0.00      325   52.9%    +0.160    +51.99
  0.10   0.60   60-300    0.05      182   62.1%    +0.252    +45.92
  0.10   0.60   60-300    0.10      116   61.2%    +0.173    +20.04
  0.10   0.70   0-30      0.00      185   58.9%    +0.148    +27.33
  0.10   0.70   0-30      0.05      136   61.8%    +0.144    +19.59
  0.10   0.70   0-30      0.10      112   60.7%    +0.096    +10.81
  0.10   0.70   30-45     0.00      104   63.5%    +0.314    +32.69
  0.10   0.70   30-45     0.05       74   60.8%    +0.172    +12.74
  0.10   0.70   45-60     0.00       67   62.7%    +0.338    +22.67
  0.10   0.70   60-300    0.00      329   53.5%    +0.165    +54.27
  0.10   0.70   60-300    0.05      186   62.9%    +0.259    +48.20
  0.10   0.70   60-300    0.10      120   62.5%    +0.186    +22.32
  0.10   0.70   60-300    0.15       62   64.5%    +0.150     +9.31
  0.10   0.80   0-30      0.00      185   58.9%    +0.148    +27.33
  0.10   0.80   0-30      0.05      136   61.8%    +0.144    +19.59
  0.10   0.80   0-30      0.10      112   60.7%    +0.096    +10.81
  0.10   0.80   30-45     0.00      104   63.5%    +0.314    +32.69
  0.10   0.80   30-45     0.05       74   60.8%    +0.172    +12.74
  0.10   0.80   45-60     0.00       67   62.7%    +0.338    +22.67
  0.10   0.80   60-300    0.00      329   53.5%    +0.165    +54.27
  0.10   0.80   60-300    0.05      186   62.9%    +0.259    +48.20
  0.10   0.80   60-300    0.10      120   62.5%    +0.186    +22.32
  0.10   0.80   60-300    0.15       62   64.5%    +0.150     +9.31
  0.15   0.40   60-300    0.00       94   55.3%    +0.460    +43.28
  0.15   0.50   0-30      0.00       87   59.8%    +0.278    +24.18
  0.15   0.50   30-45     0.00       69   69.6%    +0.517    +35.67
  0.15   0.50   60-300    0.00      249   53.8%    +0.245    +60.91
  0.15   0.50   60-300    0.05      106   70.8%    +0.517    +54.84
