calibration,ev_mode,pad_ticks,max_ask,trades_per_day,right_pct,profit,max_dd,profit_per_dd,losing_days,longest_losing_run
raw,fixed_0.05,0,0.5,93.0,49.2,547.6,87.4,6.27,2,9
raw,fixed_0.05,0,0.6,126.2,51.9,627.2,91.9,6.83,1,8
raw,fixed_0.05,0,0.7,128.8,52.2,633.3,92.6,6.84,1,8
raw,fixed_0.05,1,0.5,93.0,49.2,547.6,87.4,6.27,2,9
raw,fixed_0.05,1,0.6,126.2,51.9,627.2,91.9,6.83,1,8
raw,fixed_0.05,1,0.7,128.8,52.2,633.3,92.6,6.84,1,8
raw,fixed_0.05,3,0.5,93.0,49.2,547.6,87.4,6.27,2,9
raw,fixed_0.05,3,0.6,126.2,51.9,627.2,91.9,6.83,1,8
raw,fixed_0.05,3,0.7,128.8,52.2,633.3,92.6,6.84,1,8
raw,fixed_0.05,5,0.5,93.0,49.2,547.6,87.4,6.27,2,9
raw,fixed_0.05,5,0.6,126.2,51.9,627.2,91.9,6.83,1,8
raw,fixed_0.05,5,0.7,128.8,52.2,633.3,92.6,6.84,1,8
raw,fixed_0.10,0,0.5,93.0,49.2,547.6,87.4,6.27,2,9
raw,fixed_0.10,0,0.6,126.2,51.9,627.2,91.9,6.83,1,8
raw,fixed_0.10,0,0.7,128.8,52.2,633.3,92.6,6.84,1,8
raw,fixed_0.10,1,0.5,93.0,49.2,547.6,87.4,6.27,2,9
raw,fixed_0.10,1,0.6,126.2,51.9,627.2,91.9,6.83,1,8
raw,fixed_0.10,1,0.7,128.8,52.2,633.3,92.6,6.84,1,8
raw,fixed_0.10,3,0.5,93.0,49.2,547.6,87.4,6.27,2,9
raw,fixed_0.10,3,0.6,126.2,51.9,627.2,91.9,6.83,1,8
raw,fixed_0.10,3,0.7,128.8,52.2,633.3,92.6,6.84,1,8
raw,fixed_0.10,5,0.5,93.0,49.2,547.6,87.4,6.27,2,9
raw,fixed_0.10,5,0.6,126.2,51.9,627.2,91.9,6.83,1,8
raw,fixed_0.10,5,0.7,128.8,52.2,633.3,92.6,6.84,1,8
raw,fixed_0.15,0,0.5,93.0,49.2,547.6,87.4,6.27,2,9
raw,fixed_0.15,0,0.6,126.2,51.9,627.2,91.9,6.83,1,8
raw,fixed_0.15,0,0.7,128.8,52.2,633.3,92.6,6.84,1,8
raw,fixed_0.15,1,0.5,93.0,49.2,547.6,87.4,6.27,2,9
raw,fixed_0.15,1,0.6,126.1,51.9,632.2,91.9,6.88,1,8
raw,fixed_0.15,1,0.7,128.6,52.3,638.3,92.6,6.89,1,8
raw,fixed_0.15,3,0.5,91.4,49.2,549.1,82.4,6.66,2,9
raw,fixed_0.15,3,0.6,118.5,51.4,610.1,91.9,6.64,1,9
raw,fixed_0.15,3,0.7,120.5,51.9,628.3,92.6,6.79,1,9
raw,fixed_0.15,5,0.5,88.0,49.3,546.2,78.1,6.99,2,8
raw,fixed_0.15,5,0.6,112.2,51.4,610.6,81.2,7.52,1,8
raw,fixed_0.15,5,0.7,114.1,51.9,626.8,81.9,7.65,1,8
raw,fixed_0.20,0,0.5,74.1,50.6,601.2,69.9,8.6,2,6
raw,fixed_0.20,0,0.6,85.9,51.7,631.1,83.9,7.52,1,7
raw,fixed_0.20,0,0.7,87.1,51.9,634.0,86.7,7.31,1,7
raw,fixed_0.20,1,0.5,74.1,50.6,601.2,69.9,8.6,2,6
raw,fixed_0.20,1,0.6,85.9,51.7,631.1,83.9,7.52,1,7
raw,fixed_0.20,1,0.7,87.1,51.9,634.0,86.7,7.31,1,7
raw,fixed_0.20,3,0.5,73.2,50.7,607.2,66.8,9.09,2,6
raw,fixed_0.20,3,0.6,85.0,51.8,637.1,78.9,8.07,1,7
raw,fixed_0.20,3,0.7,86.2,52.0,640.0,81.7,7.83,2,7
raw,fixed_0.20,5,0.5,72.1,50.1,571.6,66.8,8.56,2,6
raw,fixed_0.20,5,0.6,83.9,51.3,601.4,78.9,7.62,1,7
raw,fixed_0.20,5,0.7,85.1,51.5,604.4,81.7,7.4,2,7
raw,fixed_0.25,0,0.5,66.5,50.4,566.8,67.8,8.36,2,6
raw,fixed_0.25,0,0.6,76.9,51.4,588.6,85.8,6.86,2,7
raw,fixed_0.25,0,0.7,78.1,51.7,591.5,88.6,6.68,2,7
raw,fixed_0.25,1,0.5,58.9,51.6,591.7,57.2,10.35,1,8
raw,fixed_0.25,1,0.6,68.2,52.4,609.1,71.1,8.57,1,8
raw,fixed_0.25,1,0.7,69.5,52.7,612.1,73.9,8.28,1,8
raw,fixed_0.25,3,0.5,58.5,51.5,585.3,57.2,10.24,1,8
raw,fixed_0.25,3,0.6,67.6,52.5,612.7,71.1,8.62,1,8
raw,fixed_0.25,3,0.7,68.6,53.0,625.7,68.9,9.08,1,8
raw,fixed_0.25,5,0.5,53.8,50.9,544.5,51.8,10.51,1,8
raw,fixed_0.25,5,0.6,60.9,52.4,586.8,66.8,8.78,1,8
raw,fixed_0.25,5,0.7,61.5,52.6,592.2,64.6,9.16,1,8
raw,fixed_0.30,0,0.5,36.8,52.7,491.3,44.7,10.99,1,7
raw,fixed_0.30,0,0.6,38.4,53.1,498.3,44.1,11.29,1,7
raw,fixed_0.30,0,0.7,38.6,53.1,496.2,44.1,11.24,1,7
raw,fixed_0.30,1,0.5,34.6,52.7,471.1,51.1,9.21,1,7
raw,fixed_0.30,1,0.6,36.2,53.1,478.1,41.1,11.62,1,6
raw,fixed_0.30,1,0.7,36.5,53.1,476.0,41.1,11.57,1,6
raw,fixed_0.30,3,0.5,31.5,52.4,434.9,48.9,8.89,1,6
