epoch,sec,kind,direction,quote,correct,actual
1789995000,238.7,MAIN,DOWN,0.8,0,UP
1789995300,193.3,MAIN,UP,0.87,1,UP
1789995600,202.3,EF,DOWN,0.57,1,DOWN
1789995600,216.5,MAIN,DOWN,0.75,1,DOWN
1789995900,24.2,EF,DOWN,0.38,0,UP
1789995900,18.0,MAIN,UP,0.69,1,UP
1789996200,45.9,EF,DOWN,0.6,1,DOWN
1789996500,15.3,EF,DOWN,0.41,0,UP
1789996500,57.5,MAIN,DOWN,0.63,0,UP
1789996500,244.9,REVERSAL,UP,0.6329102215189873,1,UP
1789996800,17.2,EF,DOWN,0.56,1,DOWN
1789997100,27.8,EF,DOWN,0.59,1,DOWN
1789997100,104.2,MAIN,DOWN,0.63,1,DOWN
1789997400,17.3,EF,DOWN,0.46,0,UP
1789997700,16.3,EF,UP,0.59,0,DOWN
1789998000,15.4,EF,UP,0.56,1,UP
1789998300,24.6,EF,UP,0.55,1,UP
1789998300,46.6,MAIN,UP,0.74,1,UP
1789998600,17.5,EF,UP,0.75,0,DOWN
1789998900,15.4,EF,DOWN,0.57,0,UP
1789999200,15.1,EF,UP,0.55,0,DOWN
1789999500,17.1,EF,DOWN,0.64,1,DOWN
1789999800,15.1,EF,UP,0.61,1,UP
1790000100,28.0,EF,UP,0.47,1,UP
1790000400,22.9,EF,UP,0.53,1,UP
1790000400,153.9,MAIN,UP,0.9,1,UP
1790000700,21.5,EF,DOWN,0.51,0,UP
1790001000,84.1,EF,DOWN,0.7,0,UP
1790001300,15.3,EF,UP,0.5,0,DOWN
1790001600,63.4,EF,DOWN,0.63,1,DOWN
1790001900,29.2,EF,UP,0.37,1,UP
1790001900,14.9,MAIN,DOWN,0.57,0,UP
1790001900,130.0,REVERSAL,UP,0.65,1,UP
1790002200,15.2,EF,UP,0.6,1,UP
1790002500,36.5,EF,UP,0.44,0,DOWN
1790002800,16.8,EF,UP,0.45,1,UP
1790002800,38.5,MAIN,UP,0.72,1,UP
1790003100,15.2,EF,UP,0.54,1,UP
1790003400,15.2,EF,UP,0.42,0,DOWN
1790004000,19.3,EF,DOWN,0.64,1,DOWN
1790004300,15.0,EF,DOWN,0.41,1,DOWN
1790004600,48.1,EF,DOWN,0.48,0,UP
1790004900,15.2,EF,DOWN,0.59,0,UP
1790005200,15.4,EF,UP,0.52,1,UP
1790005500,15.0,EF,UP,0.52,0,DOWN
