epoch,utc_time,raw_fired,fixed_fired,side_raw,side_fixed,ask_raw,ask_fixed,won_raw,won_fixed,paper_pnl_raw,paper_pnl_fixed,exec_exp_pnl_raw,exec_exp_pnl_fixed,exec_p05_cum_raw,exec_p95_cum_raw,exec_p05_cum_fixed,exec_p95_cum_fixed,grading_source
1789439100,2026-09-15 02:25:00,1,0,DOWN,,0.3900,,1,,15.2140,0,7.7597,0,0.0000,15.8818,0.0000,0.0000,engine
1789445100,2026-09-15 04:05:00,1,0,DOWN,,0.3900,,1,,15.2140,0,7.3618,0,0.0000,29.7980,0.0000,0.0000,venues
1789446000,2026-09-15 04:20:00,1,1,UP,UP,0.5500,0.5500,0,0,-10.3150,-10.3150,-6.7902,-6.9881,-10.3070,27.0748,-10.3220,0.0000,venues
1789446300,2026-09-15 04:25:00,1,1,UP,UP,0.5600,0.5600,1,1,7.5491,7.5491,3.2475,3.6585,-10.2572,30.3123,-10.3200,7.3298,venues
1789449300,2026-09-15 05:15:00,1,1,DOWN,DOWN,0.3600,0.3600,1,1,17.3298,17.3298,8.3303,8.3351,-2.4482,42.9029,-10.3087,22.3181,venues
1789455600,2026-09-15 07:00:00,1,1,DOWN,DOWN,0.3300,0.3300,0,0,-10.4690,-10.4690,-6.7889,-6.4644,-10.4278,37.0815,-20.7266,16.3276,venues
1789456200,2026-09-15 07:10:00,1,1,DOWN,DOWN,0.4600,0.4600,1,1,11.3611,11.3611,5.5271,5.5724,-6.6399,44.8963,-15.1051,23.6216,venues
1789462200,2026-09-15 08:50:00,1,1,UP,UP,0.5500,0.5500,1,1,7.8668,7.8668,3.6394,3.6122,-3.5038,48.2752,-13.0860,29.2098,venues
1789464900,2026-09-15 09:35:00,1,1,DOWN,DOWN,0.4900,0.4900,0,0,-10.3570,-10.3570,-6.4158,-7.0960,-11.0531,43.6457,-20.8194,23.6622,venues
1789466700,2026-09-15 10:05:00,1,1,UP,UP,0.3900,0.3900,1,1,15.2140,15.2140,7.6005,6.9132,-6.0397,53.5685,-16.3276,32.4393,venues
1789468500,2026-09-15 10:35:00,1,1,UP,UP,0.4400,0.4400,0,0,-10.3920,-10.3920,-6.9576,-6.6858,-12.8114,47.8443,-25.4498,26.6324,venues
1789477200,2026-09-15 13:00:00,1,0,DOWN,,0.3600,,0,,-10.4480,0,-6.7950,0,-20.2891,42.1338,-25.4498,26.6324,venues
1789477800,2026-09-15 13:10:00,1,0,UP,,0.5200,,0,,-10.3360,0,-6.5892,0,-28.6780,35.5089,-25.4498,26.6324,venues
1789479600,2026-09-15 13:40:00,1,1,DOWN,DOWN,0.3200,0.3200,0,0,-10.4760,-10.4760,-6.6036,-7.1784,-37.2028,31.6813,-33.1104,20.8203,venues
1789480800,2026-09-15 14:00:00,1,1,DOWN,DOWN,0.5300,0.5300,0,0,-10.3290,-10.3290,-6.6655,-6.8635,-43.4624,23.7498,-41.4690,14.8503,venues
1789481400,2026-09-15 14:10:00,1,1,DOWN,DOWN,0.5400,0.6600,1,1,8.1965,4.9135,3.8901,2.2649,-39.9690,29.4846,-38.8569,16.9483,venues
1789482000,2026-09-15 14:20:00,1,1,DOWN,DOWN,0.6100,0.6100,0,0,-10.2730,-10.2730,-6.4250,-6.5799,-49.3440,24.3130,-45.0854,12.2584,venues
1789483200,2026-09-15 14:40:00,1,1,UP,UP,0.5300,0.5300,1,1,8.5389,8.5389,3.9531,3.9498,-44.5814,29.6628,-43.2129,17.3515,venues
1789483800,2026-09-15 14:50:00,1,1,UP,UP,0.5000,0.5000,1,1,9.6500,9.6500,4.3044,4.2483,-42.1028,33.3313,-39.4437,22.3008,venues
