policy,fee,fires_per_100,acc,pnl_per_100,total,maxdd,worst_hr,worst_3h,asia,london,us,avg_q,n
P0 greedy,0.0,93.33333333333333,23.214285714285715,-22.950964790251636,-55.082315496603925,67.4416661734085,-9.435897435897436,-17.930575785869905,-1.8483991728859386,-20.57471351007436,-32.659202813643624,0.2944796767652674,224
P1 runway,0.0,87.5,24.285714285714285,-19.482102721286118,-46.75704653108668,61.116397207891275,-11.0,-14.930575785869905,-0.8483991728859386,-13.574713510074359,-32.33393384812638,0.3030139687287844,210
P2 persist2,0.0,88.33333333333333,19.81132075471698,-28.05983952459841,-67.34361485903618,72.10553793827269,-12.0,-17.276666643690838,-10.529421227049692,-18.366989066386907,-38.447204565599584,0.2646119572223971,212
P3 timebuffer,0.0,80.41666666666667,23.316062176165804,-16.869685943446278,-40.487246264271064,55.645015148404724,-11.0,-16.502004357298475,0.508115892680677,-20.41866742088651,-20.576694736065228,0.2793898889225826,193
P4 floor.35,0.0,67.5,26.543209876543212,-13.267542959641544,-31.842103103139706,45.19727610299332,-8.435897435897436,-14.502004357298476,0.15160082711406142,-13.281339551741024,-18.712364378512746,0.32577927200115797,162
P5 P2+P3+P4,0.0,44.583333333333336,24.299065420560748,-6.922115982681613,-16.61307835843587,23.09264502900814,-6.0,-13.278074193548388,-3.957928012026065,-6.998446051616633,-5.656704294793171,0.29740694804779283,107
P6 P5+governor,0.0,2.0833333333333335,20.0,-0.8364065315315311,-2.0073756756756747,4.0,-2.0073756756756747,-2.0073756756756747,-2.0073756756756747,0.0,0.0,0.35438999673622845,5
P0 greedy,0.07,91.66666666666667,22.272727272727273,-25.827427068443466,-61.985824964264324,68.72143948604791,-9.540900964704552,-17.335127630262022,-7.63027215980023,-22.24984593854241,-32.105706865921675,0.2812328762263651,220
P1 runway,0.07,84.58333333333333,23.15270935960591,-22.88122728625351,-54.91494548700842,63.65056000879201,-11.0,-14.335127630262022,-6.63027215980023,-18.813625727098046,-29.47104760011014,0.2909044575641829,203
P2 persist2,0.07,86.66666666666667,19.230769230769234,-28.58972889074895,-68.61534933779748,77.14673712726818,-12.0,-19.580215331523263,-5.696410420662579,-25.741266272273155,-37.17767264486175,0.25003018924912557,208
P3 timebuffer,0.07,77.5,20.43010752688172,-20.89274089273168,-50.14257814255603,62.152086460835136,-11.0,-19.775079666381522,-5.822391485522566,-27.640961164132058,-16.679225492901416,0.2668005007571958,186
P4 floor.35,0.07,64.58333333333333,25.806451612903224,-14.78030262986942,-35.47272631168661,43.23410132445781,-8.540900964704552,-14.135602689644445,-5.63027215980023,-16.008326552082856,-13.834127599803525,0.31307096763951603,155
P5 P2+P3+P4,0.07,42.5,24.509803921568626,-6.049655629955191,-14.519173511892456,20.660654668268677,-6.0,-12.459330053561581,-5.935837274224918,-10.650279857617432,2.066943619949896,0.2880774387972364,102
P6 P5+governor,0.07,2.0833333333333335,20.0,-0.8919365342689028,-2.140647682245367,4.0,-2.140647682245367,-2.140647682245367,-2.140647682245367,0.0,0.0,0.3019388291894245,5
