cid,ep,side,sec,off,q,best_ask,win,binance_ok,bucket
1785542400000,1785542400,DOWN,8.867,5,0.43000000000000005,0.43,False,0,
1785542700000,1785542700,UP,34.831,30,0.36,0.36,False,0,
1785543000000,1785543000,DOWN,285.153,285,0.71,0.71,False,1,
1785543300000,1785543300,DOWN,200.84,200,0.42,0.42,False,0,
1785543600000,1785543600,UP,141.368,140,0.49,0.49,True,1,
1785544200000,1785544200,DOWN,98.747,95,0.57,0.57,False,0,
1785544500000,1785544500,UP,28.779,25,0.41,0.41,True,1,
1785544800000,1785544800,UP,25.081,25,0.43354271840918723,0.43,True,1,
1785545100000,1785545100,DOWN,10.098,10,0.45,0.45,False,0,
1785545400000,1785545400,DOWN,57.732,55,0.6,0.6,True,1,
1785545700000,1785545700,UP,121.483,120,0.47000000000000003,0.47,False,0,
1785546300000,1785546300,UP,108.451,105,0.56,0.56,True,1,
1785546600000,1785546600,UP,65.09,65,0.4822644777764654,0.48,True,1,
1785546900000,1785546900,DOWN,99.108,95,0.6,0.6,True,1,
1785547200000,1785547200,DOWN,82.499,80,0.35,0.35,True,1,
1785547500000,1785547500,DOWN,60.785,60,0.326943082181602,0.32,False,0,
1785547800000,1785547800,UP,81.275,80,0.42,0.42,False,0,
1785548400000,1785548400,DOWN,13.081,10,0.27,0.27,False,0,
1785548700000,1785548700,DOWN,183.384,180,0.29,0.29,True,1,
1785549000000,1785549000,UP,168.388,165,0.66,0.66,False,0,
1785549300000,1785549300,UP,245.29,245,0.9,0.9,True,1,
1785550500000,1785550500,DOWN,111.19,110,0.2589754165187949,0.25,False,0,
1785550800000,1785550800,DOWN,275.196,275,0.1392612192319744,0.1,False,0,
1785551100000,1785551100,DOWN,246.889,245,0.09570934984638649,0.08,False,0,
1785551700000,1785551700,DOWN,146.887,145,0.324053616143762,0.28,False,1,
1785552300000,1785552300,UP,134.947,130,0.41,0.41,False,0,
1785552600000,1785552600,UP,272.193,270,0.9036832540541614,0.9,True,1,
1785552900000,1785552900,UP,199.078,195,0.8600000000000001,0.86,True,1,
1785553200000,1785553200,UP,13.085,10,0.39,0.39,False,0,
1785553500000,1785553500,UP,131.582,130,0.35,0.35,False,0,
1785554100000,1785554100,UP,110.922,110,0.14610404434257748,0.14,True,1,
1785554400000,1785554400,DOWN,65.195,65,0.41,0.41,False,0,
1785554700000,1785554700,DOWN,81.186,80,0.51,0.51,True,1,
1785555300000,1785555300,UP,3.388,5,0.55,0.55,False,0,
1785555600000,1785555600,DOWN,85.161,85,0.33,0.33,False,0,
1785555900000,1785555900,DOWN,111.879,110,0.54,0.54,False,0,
1785556200000,1785556200,DOWN,96.158,95,0.4,0.4,True,1,
1785556500000,1785556500,DOWN,33.886,30,0.44,0.44,False,0,
1785556800000,1785556800,DOWN,262.694,260,0.77,0.77,True,1,
1785557100000,1785557100,DOWN,108.884,105,0.45,0.45,False,0,
1785558000000,1785558000,DOWN,41.207,40,0.6108374384236454,0.61,False,0,
1785558600000,1785558600,DOWN,169.295,165,0.5,0.5,False,1,
1785559800000,1785559800,UP,212.092,210,0.88,0.88,True,1,
1785560100000,1785560100,DOWN,250.529,250,0.11013721261071084,0.11,False,0,
1785560700000,1785560700,UP,71.989,70,0.49,0.49,True,1,
1785561000000,1785561000,DOWN,164.276,160,0.17,0.17,False,1,
1785561900000,1785561900,DOWN,107.076,105,0.6,0.6,False,0,
1785562200000,1785562200,UP,35.197,35,0.44,0.44,False,0,
1785563700000,1785563700,DOWN,244.181,240,0.81,0.81,True,1,
1785564000000,1785564000,DOWN,118.273,115,0.52,0.52,True,1,
1785564300000,1785564300,DOWN,2.496,5,0.4799999999999999,0.48,True,1,
1785564900000,1785564900,DOWN,122.402,120,0.43639104604917334,0.43,False,1,
1785565800000,1785565800,DOWN,80.788,80,0.38,0.38,False,0,
1785566700000,1785566700,UP,42.311,40,0.42,0.42,True,1,
1785567900000,1785567900,DOWN,32.18,30,0.45,0.45,False,0,
