build,cid,ep,side,off,sec,q,best_ask,win,regime
r6.4,1785542400000,1785542400,DOWN,5,8.882,0.43000000000000005,0.43,False,TRENDING
r6.4,1785542700000,1785542700,UP,30,34.831,0.36,0.36,False,NEUTRAL
r6.4,1785543000000,1785543000,DOWN,285,285.13,0.71,0.71,False,RANGING
r6.4,1785543300000,1785543300,DOWN,200,200.813,0.42,0.42,False,RANGING
r6.4,1785543600000,1785543600,UP,140,141.336,0.49,0.49,True,NEUTRAL
r6.4,1785544200000,1785544200,DOWN,95,97.942,0.57,0.57,False,TRENDING
r6.4,1785544500000,1785544500,UP,25,28.779,0.41,0.41,True,NEUTRAL
r6.4,1785544800000,1785544800,UP,20,24.478,0.32,0.32,True,TRENDING
r6.4,1785545100000,1785545100,DOWN,10,10.072,0.45,0.45,False,RANGING
r6.4,1785545400000,1785545400,DOWN,55,57.732,0.6,0.6,True,RANGING
r6.4,1785545700000,1785545700,UP,120,121.4,0.47000000000000003,0.47,False,TRENDING
r6.4,1785546000000,1785546000,DOWN,80,83.108,0.29,0.29,False,TRENDING
r6.4,1785546300000,1785546300,UP,105,107.631,0.56,0.56,True,RANGING
r6.4,1785546600000,1785546600,UP,65,65.09,0.4822644777764654,0.48,True,RANGING
r6.4,1785546900000,1785546900,DOWN,95,99.108,0.6,0.6,True,NEUTRAL
r6.4,1785547200000,1785547200,DOWN,80,82.473,0.35,0.35,True,NEUTRAL
r6.4,1785547500000,1785547500,DOWN,60,60.707,0.326943082181602,0.32,False,TRENDING
r6.4,1785547800000,1785547800,UP,80,81.275,0.42,0.42,False,TRENDING
r6.4,1785548400000,1785548400,DOWN,10,13.055,0.27,0.27,False,HIGH_VOL
r6.4,1785548700000,1785548700,DOWN,180,183.384,0.29,0.29,True,RANGING
r6.4,1785549000000,1785549000,UP,165,168.388,0.66,0.66,False,NEUTRAL
r6.4,1785549300000,1785549300,UP,245,245.29,0.9,0.9,True,NEUTRAL
r6.4,1785550500000,1785550500,DOWN,110,111.19,0.2589754165187949,0.25,False,NEUTRAL
r6.4,1785550800000,1785550800,DOWN,275,275.117,0.1392612192319744,0.1,False,NEUTRAL
r6.4,1785551100000,1785551100,DOWN,245,246.837,0.09570934984638649,0.08,False,NEUTRAL
r6.4,1785551700000,1785551700,DOWN,145,146.831,0.324053616143762,0.28,False,NEUTRAL
r6.4,1785552300000,1785552300,UP,130,134.947,0.41,0.41,False,NEUTRAL
r6.4,1785552600000,1785552600,UP,215,218.731,0.82,0.82,True,RANGING
r6.4,1785552900000,1785552900,UP,195,199.064,0.8600000000000001,0.86,True,NEUTRAL
r6.4,1785553200000,1785553200,UP,10,13.162,0.39,0.39,False,RANGING
r6.4,1785553500000,1785553500,UP,130,131.53,0.35,0.35,False,NEUTRAL
r6.4,1785554100000,1785554100,UP,110,110.932,0.14610404434257748,0.14,True,RANGING
r6.4,1785554400000,1785554400,DOWN,65,65.195,0.41,0.41,False,NEUTRAL
r6.4,1785554700000,1785554700,DOWN,80,81.186,0.51,0.51,True,NEUTRAL
r6.4,1785555300000,1785555300,UP,5,3.357,0.55,0.55,False,HIGH_VOL
r6.4,1785555600000,1785555600,DOWN,85,85.125,0.33,0.33,False,TRENDING
r6.4,1785555900000,1785555900,DOWN,110,111.879,0.54,0.54,False,RANGING
r6.4,1785556200000,1785556200,DOWN,95,96.158,0.4,0.4,True,NEUTRAL
r6.4,1785556500000,1785556500,DOWN,120,120.438,0.4799999999999999,0.48,False,NEUTRAL
r6.4,1785556800000,1785556800,DOWN,260,262.694,0.77,0.77,True,NEUTRAL
r6.4,1785557100000,1785557100,DOWN,105,108.871,0.45,0.45,False,NEUTRAL
r6.4,1785558000000,1785558000,DOWN,40,41.207,0.6108374384236454,0.61,False,RANGING
r6.4,1785558600000,1785558600,DOWN,165,169.218,0.5,0.5,False,RANGING
r6.4,1785559800000,1785559800,UP,210,212.092,0.88,0.88,True,RANGING
r6.4,1785560100000,1785560100,DOWN,250,250.529,0.11013721261071084,0.11,False,RANGING
r6.4,1785560700000,1785560700,UP,70,71.936,0.49,0.49,True,NEUTRAL
r6.4,1785561000000,1785561000,DOWN,160,164.224,0.17,0.17,False,NEUTRAL
r6.4,1785561900000,1785561900,DOWN,105,107.05,0.6,0.6,False,RANGING
r6.4,1785562200000,1785562200,UP,30,34.828,0.38,0.38,False,HIGH_VOL
r6.4,1785562500000,1785562500,DOWN,255,255.241,0.8,0.8,True,HIGH_VOL
r6.4,1785563700000,1785563700,DOWN,240,244.154,0.81,0.81,True,RANGING
r6.4,1785564000000,1785564000,DOWN,115,118.273,0.52,0.52,True,HIGH_VOL
r6.4,1785564900000,1785564900,DOWN,120,122.402,0.43639104604917334,0.43,False,NEUTRAL
r6.4,1785565800000,1785565800,DOWN,80,80.737,0.38,0.38,False,RANGING
r6.4,1785566700000,1785566700,UP,40,42.311,0.42,0.42,True,NEUTRAL
r6.4,1785567600000,1785567600,DOWN,200,201.998,0.3,0.3,False,TRENDING
r6.4,1785567900000,1785567900,DOWN,30,32.18,0.45,0.45,False,NEUTRAL
r6.4,1785570000000,1785570000,UP,120,120.623,0.52,0.52,True,RANGING
r6.4,1785570600000,1785570600,DOWN,85,89.668,0.57,0.57,False,NEUTRAL
r6.4,1785570900000,1785570900,UP,15,16.552,0.54,0.54,False,HIGH_VOL
